"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"216",216,99.2412,11.5100265706283,0.803064811554388,0.038881463480758,0.4946,0.5568,0.473,1,1,1
"217",217,99.1736,11.8610074429772,0.798905406201244,0.0390208850874047,0.494,0.552,0.4796,1,1,1
"218",218,99.2168,11.271106202481,0.815329010201568,0.0392806809388557,0.4868,0.5578,0.4824,1,1,1
"219",219,99.3216,12.097412404962,0.789204306870846,0.0393237164651826,0.4946,0.5644,0.4822,1,1,1
"220",220,99.3744,12.0998645858343,0.795439801600933,0.0396358392223745,0.4956,0.5624,0.4932,1,1,1
"221",221,99.3196,11.9558381752701,0.802227281702668,0.0399426311055631,0.4974,0.563,0.4862,1,1,1
"222",222,99.1988,11.5054807523009,0.804319714510576,0.039850840766853,0.4954,0.5614,0.4888,1,1,1
"223",223,99.2704,10.992880992397,0.819212620328156,0.0401029221025257,0.5038,0.568,0.4978,1,1,1
"224",224,99.3776,11.3227473389356,0.817208430149514,0.0403312271909757,0.5108,0.5642,0.5046,1,1,1
"225",225,99.3572,12.2857224489796,0.789527506144188,0.0405402832818719,0.5246,0.5634,0.51,1,1,1
"226",226,99.2276,12.3351322929172,0.782507529254453,0.0405504642811093,0.549,0.5812,0.5042,1,1,1
"227",227,99.1796,12.4539254101641,0.792734699974355,0.0407825138239142,0.5456,0.5696,0.5068,1,1,1
"228",228,99.2152,11.8616336134454,0.827106620723553,0.041086415845894,0.5438,0.5504,0.5166,1,1,1
"229",229,99.2136,11.1604392156863,0.828214631788922,0.0412763514199518,0.5398,0.543,0.5246,1,1,1
"230",230,99.1328,11.6446220088035,0.809361887244849,0.0413489936980919,0.5452,0.5398,0.5148,1,1,1
"231",231,99.032,11.9597599039616,0.811121996397149,0.0415948012568537,0.5424,0.542,0.5082,1,1,1
"232",232,98.902,12.0636214485794,0.821592125781048,0.0416431291549821,0.5488,0.5318,0.5024,1,1,1
"233",233,98.7684,12.7438589835934,0.795863821436003,0.0419430220500544,0.536,0.5352,0.4852,1,1,1
"234",234,98.7776,11.6463967987195,0.806601966683628,0.042096662875184,0.5396,0.5282,0.4804,1,1,1
"235",235,98.7956,12.3355548619448,0.793527823592179,0.042289168715443,0.5442,0.529,0.4808,1,1,1
"236",236,98.7764,12.1192507402961,0.803956266589592,0.0424719521467063,0.5468,0.5212,0.4728,1,1,1
"237",237,98.74,12.4621848739496,0.787586757858909,0.0425486533502782,0.543,0.5116,0.4724,1,1,1
"238",238,98.6996,11.9741494997999,0.813693855827798,0.042870750785471,0.5438,0.5118,0.4772,1,1,1
"239",239,98.6384,12.2245352541016,0.788644499328452,0.0430854492112113,0.5456,0.5232,0.4808,1,1,1
"240",240,98.6908,11.73028747499,0.826811598247068,0.0430540836089257,0.5524,0.5188,0.4774,1,1,1
"241",241,98.592,11.7758463385354,0.787271427328679,0.0432616896292322,0.5478,0.5314,0.4774,1,1,1
"242",242,98.5612,11.5940921968788,0.787148195177875,0.0435401852024487,0.5476,0.5344,0.476,1,1,1
"243",243,98.6736,11.3091867146859,0.802426875343646,0.0438363460534211,0.5486,0.5344,0.472,1,1,1
"244",244,98.6892,11.5372182472989,0.809309914565552,0.043768968232981,0.5374,0.527,0.471,1,1,1
"245",245,98.8024,11.4687417366947,0.808536169869257,0.04400703293513,0.5472,0.5296,0.4708,1,1,1
"246",246,98.6856,11.9219214085634,0.784527321452518,0.0442416368147636,0.5532,0.5376,0.4702,1,1,1
"247",247,98.7628,11.6295879951981,0.809214608194459,0.0444565846088725,0.5598,0.5418,0.4596,1,1,1
"248",248,98.7616,11.0651915166066,0.788042329193449,0.0446151569272011,0.5638,0.541,0.4658,1,1,1
"249",249,98.8356,11.6820454581833,0.796829051093808,0.044891657986874,0.5544,0.542,0.4662,1,1,1
